Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
23/11/2019,Crystal Palace,Liverpool,1,2,A
23/11/2019,Everton,Norwich,0,2,A
23/11/2019,Watford,Burnley,0,3,A
23/11/2019,Man City,Chelsea,2,1,H
24/11/2019,Sheffield United,Man United,3,3,D
25/11/2019,Aston Villa,Newcastle,2,0,H
30/11/2019,Newcastle,Man City,2,2,D
30/11/2019,Burnley,Crystal Palace,0,2,A
30/11/2019,Chelsea,West Ham,0,1,A
30/11/2019,Liverpool,Brighton,2,1,H
30/11/2019,Tottenham,Bournemouth,3,2,H
30/11/2019,Southampton,Watford,2,1,H
01/12/2019,Norwich,Arsenal,2,2,D
01/12/2019,Wolves,Sheffield United,1,1,D
01/12/2019,Leicester,Everton,2,1,H
01/12/2019,Man United,Aston Villa,2,2,D
03/12/2019,Crystal Palace,Bournemouth,1,0,H
03/12/2019,Burnley,Man City,1,4,A
04/12/2019,Chelsea,Aston Villa,2,1,H
04/12/2019,Leicester,Watford,2,0,H
04/12/2019,Man United,Tottenham,2,1,H
04/12/2019,Southampton,Norwich,2,1,H
04/12/2019,Wolves,West Ham,2,0,H
04/12/2019,Liverpool,Everton,5,2,H
05/12/2019,Sheffield United,Newcastle,0,2,A
05/12/2019,Arsenal,Brighton,1,2,A
07/12/2019,Everton,Chelsea,3,1,H
07/12/2019,Bournemouth,Liverpool,0,3,A
07/12/2019,Tottenham,Burnley,5,0,H
07/12/2019,Watford,Crystal Palace,0,0,D
07/12/2019,Man City,Man United,1,2,A
08/12/2019,Aston Villa,Leicester,1,4,A
08/12/2019,Newcastle,Southampton,2,1,H
08/12/2019,Norwich,Sheffield United,1,2,A
08/12/2019,Brighton,Wolves,2,2,D
09/12/2019,West Ham,Arsenal,1,3,A
14/12/2019,Liverpool,Watford,2,0,H
14/12/2019,Burnley,Newcastle,1,0,H
14/12/2019,Chelsea,Bournemouth,0,1,A
14/12/2019,Leicester,Norwich,1,1,D
14/12/2019,Sheffield United,Aston Villa,2,0,H
14/12/2019,Southampton,West Ham,0,1,A
15/12/2019,Man United,Everton,1,1,D
15/12/2019,Wolves,Tottenham,1,2,A
15/12/2019,Arsenal,Man City,0,3,A
16/12/2019,Crystal Palace,Brighton,1,1,D
21/12/2019,Everton,Arsenal,0,0,D
21/12/2019,Aston Villa,Southampton,1,3,A
21/12/2019,Bournemouth,Burnley,0,1,A
21/12/2019,Brighton,Sheffield United,0,1,A
21/12/2019,Newcastle,Crystal Palace,1,0,H
21/12/2019,Norwich,Wolves,1,2,A
21/12/2019,Man City,Leicester,3,1,H
22/12/2019,Watford,Man United,2,0,H
22/12/2019,Tottenham,Chelsea,0,2,A
26/12/2019,Tottenham,Brighton,2,1,H
26/12/2019,Aston Villa,Norwich,1,0,H
26/12/2019,Bournemouth,Arsenal,1,1,D
26/12/2019,Chelsea,Southampton,0,2,A
26/12/2019,Crystal Palace,West Ham,2,1,H
26/12/2019,Everton,Burnley,1,0,H
26/12/2019,Sheffield United,Watford,1,1,D
26/12/2019,Man United,Newcastle,4,1,H
26/12/2019,Leicester,Liverpool,0,4,A
27/12/2019,Wolves,Man City,3,2,H
28/12/2019,Brighton,Bournemouth,2,0,H
28/12/2019,Newcastle,Everton,1,2,A
28/12/2019,Southampton,Crystal Palace,1,1,D
28/12/2019,Watford,Aston Villa,3,0,H
28/12/2019,Norwich,Tottenham,2,2,D
28/12/2019,West Ham,Leicester,1,2,A
28/12/2019,Burnley,Man United,0,2,A
29/12/2019,Arsenal,Chelsea,1,2,A
29/12/2019,Liverpool,Wolves,1,0,H
29/12/2019,Man City,Sheffield United,2,0,H
01/01/2020,Brighton,Chelsea,1,1,D
01/01/2020,Burnley,Aston Villa,1,2,A
01/01/2020,Newcastle,Leicester,0,3,A
01/01/2020,Southampton,Tottenham,1,0,H
01/01/2020,Watford,Wolves,2,1,H
01/01/2020,Man City,Everton,2,1,H
01/01/2020,Norwich,Crystal Palace,1,1,D
01/01/2020,West Ham,Bournemouth,4,0,H
01/01/2020,Arsenal,Man United,2,0,H
02/01/2020,Liverpool,Sheffield United,2,0,H
10/01/2020,Sheffield United,West Ham,1,0,H
11/01/2020,Crystal Palace,Arsenal,1,1,D
11/01/2020,Chelsea,Burnley,3,0,H
11/01/2020,Everton,Brighton,1,0,H
11/01/2020,Leicester,Southampton,1,2,A
11/01/2020,Man United,Norwich,4,0,H
11/01/2020,Wolves,Newcastle,1,1,D
11/01/2020,Tottenham,Liverpool,0,1,A
12/01/2020,Bournemouth,Watford,0,3,A
12/01/2020,Aston Villa,Man City,1,6,A
18/01/2020,Watford,Tottenham,0,0,D
18/01/2020,Arsenal,Sheffield United,1,1,D
18/01/2020,Brighton,Aston Villa,1,1,D
18/01/2020,Man City,Crystal Palace,2,2,D
18/01/2020,Norwich,Bournemouth,1,0,H
18/01/2020,Southampton,Wolves,2,3,A
18/01/2020,West Ham,Everton,1,1,D
18/01/2020,Newcastle,Chelsea,1,0,H
19/01/2020,Burnley,Leicester,2,1,H
19/01/2020,Liverpool,Man United,2,0,H
21/01/2020,Aston Villa,Watford,2,1,H
21/01/2020,Bournemouth,Brighton,3,1,H
21/01/2020,Crystal Palace,Southampton,0,2,A
21/01/2020,Everton,Newcastle,2,2,D
21/01/2020,Sheffield United,Man City,0,1,A
21/01/2020,Chelsea,Arsenal,2,2,D
22/01/2020,Leicester,West Ham,4,1,H
22/01/2020,Tottenham,Norwich,2,1,H
22/01/2020,Man United,Burnley,0,2,A
23/01/2020,Wolves,Liverpool,1,2,A
29/01/2020,West Ham,Liverpool,0,2,A
01/02/2020,Leicester,Chelsea,2,2,D
01/02/2020,Bournemouth,Aston Villa,2,1,H
01/02/2020,Crystal Palace,Sheffield United,0,1,A
01/02/2020,Liverpool,Southampton,4,0,H
01/02/2020,Newcastle,Norwich,0,0,D
01/02/2020,Watford,Everton,2,3,A
01/02/2020,West Ham,Brighton,3,3,D
01/02/2020,Man United,Wolves,0,0,D
02/02/2020,Burnley,Arsenal,0,0,D
02/02/2020,Tottenham,Man City,2,0,H
08/02/2020,Everton,Crystal Palace,3,1,H
08/02/2020,Brighton,Watford,1,1,D
09/02/2020,Sheffield United,Bournemouth,2,1,H
14/02/2020,Wolves,Leicester,0,0,D
15/02/2020,Southampton,Burnley,1,2,A
15/02/2020,Norwich,Liverpool,0,1,A
16/02/2020,Aston Villa,Tottenham,2,3,A
16/02/2020,Arsenal,Newcastle,4,0,H
17/02/2020,Chelsea,Man United,0,2,A
19/02/2020,Man City,West Ham,2,0,H
22/02/2020,Chelsea,Tottenham,2,1,H
22/02/2020,Burnley,Bournemouth,3,0,H
22/02/2020,Crystal Palace,Newcastle,1,0,H
22/02/2020,Sheffield United,Brighton,1,1,D
22/02/2020,Southampton,Aston Villa,2,0,H
22/02/2020,Leicester,Man City,0,1,A
23/02/2020,Man United,Watford,3,0,H
23/02/2020,Wolves,Norwich,3,0,H
23/02/2020,Arsenal,Everton,3,2,H
24/02/2020,Liverpool,West Ham,3,2,H
28/02/2020,Norwich,Leicester,1,0,H
29/02/2020,Brighton,Crystal Palace,0,1,A
29/02/2020,Bournemouth,Chelsea,2,2,D
29/02/2020,Newcastle,Burnley,0,0,D
29/02/2020,West Ham,Southampton,3,1,H
29/02/2020,Watford,Liverpool,3,0,H
01/03/2020,Everton,Man United,1,1,D
01/03/2020,Tottenham,Wolves,2,3,A
